"iGEM_ID";"Uniprot_id";"Part_Locus";"Protein_Locus"
"BBa_K2010002";"A0A0K8P6T7";"161---1027";"1---289"
"BBa_K2010003";"A0A0K8P6T7";"449---1315";"1---289"
"BBa_K2010003";"P33219";"59---412";"1---118"
"BBa_K2010004";"A0A0K8P6T7";"794---1660";"1---289"
"BBa_K2010004";"P42212";"65---778";"1---238"
"BBa_K2010005";"A0A0K8P6T7";"860---1726";"1---289"
"BBa_K2010005";"P42212";"131---844";"1---238"
"BBa_K2010007";"A0A0K8P6T7";"866---1732";"1---289"
"BBa_K2010007";"P42212";"137---850";"1---238"
"BBa_K2010008";"A0A0K8P6T7";"1154---2020";"1---289"
"BBa_K2010008";"P33219";"785---1138";"1---118"
"BBa_K2010008";"P42212";"65---778";"1---238"
"BBa_K2012002";"B8GZM2";"7---1365";"2---454"
"BBa_K2012007";"P0A9H9";"1---591";"1---197"
"BBa_K2012007";"P42212";"664---1371";"3---238"
"BBa_K2012008";"P0A9H9";"1---591";"1---197"
"BBa_K2012008";"P42212";"688---1401";"1---238"
"BBa_K2012009";"P0A9H9";"21---611";"1---197"
"BBa_K2012009";"P42212";"684---1391";"3---238"
"BBa_K2012028";"B8GZM2";"7---1365";"2---454"
"BBa_K2013002";"A0A0K8P6T7";"82---951";"1---290"
"BBa_K2015008";"P42212";"88---801";"1---238"
"BBa_K2015009";"P42212";"73---786";"1---238"
"BBa_K2016003";"Q60AX2";"1---393";"1---131"
"BBa_K2016004";"P02246";"4---342";"1---113"
"BBa_K2018004";"P10547";"52---786";"249---493"
"BBa_K2018016";"P10547";"114---848";"249---493"
"BBa_K2018020";"Q8NVG0";"1---801";"1---267"
"BBa_K2018027";"P08716";"1---2064";"1---688"
"BBa_K2018029";"P06739";"1---1434";"1---478"
"BBa_K2019000";"J7RUA5";"22---3180";"1---1053"
"BBa_K2019003";"J7RUA5";"148---3306";"1---1053"
"BBa_K2019004";"J7RUA5";"178---3336";"1---1053"
"BBa_K2019005";"J7RUA5";"121---3279";"1---1053"
"BBa_K2020001";"P04189";"70---1122";"31---381"
"BBa_K2020023";"P04189";"2---1066";"27---381"
"BBa_K2020026";"P25501";"3---263";"2---88"
"BBa_K2020043";"Q57834";"1---918";"1---306"
"BBa_K2020045";"Q57834";"1---918";"1---306"
"BBa_K2020046";"Q57834";"1---918";"1---306"
"BBa_K2020050";"Q57834";"1---918";"1---306"
"BBa_K2020051";"Q57834";"1---918";"1---306"
"BBa_K2020052";"Q57834";"1---918";"1---306"
"BBa_K2020053";"Q57834";"1---918";"1---306"
"BBa_K2020054";"Q57834";"1---918";"1---306"
"BBa_K2020055";"Q57834";"1---918";"1---306"
"BBa_K2020056";"Q57834";"1---918";"1---306"
"BBa_K2020057";"Q57834";"1---918";"1---306"
"BBa_K2020058";"Q57834";"1---918";"1---306"
"BBa_K2020059";"Q57834";"1---918";"1---306"
"BBa_K2020060";"Q57834";"1---918";"1---306"
"BBa_K2022000";"P69169";"4---216";"1---71"
"BBa_K2022001";"P69169";"4---216";"1---71"
"BBa_K2022002";"P0ABV9";"1---225";"43---117"
"BBa_K2022003";"P0ABV9";"1---225";"43---117"
"BBa_K2022004";"Q93P60";"1---1167";"1---389"
"BBa_K2022005";"Q93P60";"1---1167";"1---389"
"BBa_K2022010";"Q9U6Y8";"73---729";"3---221"
"BBa_K2022011";"P42212";"67---780";"1---238"
"BBa_K2022012";"O30611";"1---771";"1---257"
"BBa_K2022012";"P42212";"961---1674";"1---238"
"BBa_K2022013";"O30611";"1---771";"1---257"
"BBa_K2023005";"P06519";"1---1698";"1---566"
"BBa_K2023010";"P06519";"1---1698";"1---566"
"BBa_K2024000";"A0A0K8P6T7";"21---890";"1---290"
"BBa_K2027053";"O82803";"1---612";"1---204"
"BBa_K2027054";"Q8W3U4";"1---870";"1---284"
"BBa_K2027055";"Q8W3U4";"1---852";"1---284"
"BBa_K2027056";"P77488";"1---1860";"1---620"
"BBa_K2027067";"Q9GZ28";"1---696";"1---232"
"BBa_K2029002";"P18429";"1---633";"2---212"
"BBa_K2029004";"A3DC29";"1---1335";"33---477"
"BBa_K2029005";"P28621";"1---1230";"31---440"
"BBa_K2029006";"P10475";"1---1413";"29---499"
"BBa_K2029008";"P37957";"1---630";"2---211"
"BBa_K2030002";"P73162";"1---1239";"1---413"
"BBa_K2032007";"Q9S7E4";"86---1147";"31---384"
"BBa_K2032008";"P11987";"4757---5263";"1---169"
"BBa_K2032008";"P18797";"83---505";"1---141"
"BBa_K2032008";"P18798";"3560---4726";"1---389"
"BBa_K2032008";"P22867";"1610---1918";"1---103"
"BBa_K2032008";"P22868";"536---1579";"1---348"
"BBa_K2032008";"P22869";"2012---3529";"22---527"
"BBa_K2032008";"P42212";"5644---6354";"2---238"
"BBa_K2032009";"P11987";"1217---1723";"1---169"
"BBa_K2032009";"P18798";"20---1186";"1---389"
"BBa_K2034000";"A4FVP2";"4---1623";"26---565"
"BBa_K2036000";"P03042";"19---309";"1---97"
"BBa_K2036001";"P03044";"1---162";"1---54"
"BBa_K2036003";"Q39192";"1---1086";"1---362"
"BBa_K2036004";"Q9M7Q4";"1---1248";"1---416"
"BBa_K2036005";"P49598";"1---1197";"1---399"
"BBa_K2036006";"P03044";"19---180";"1---54"
"BBa_K2042001";"P26494";"1---1677";"1---559"
"BBa_K2042002";"P26494";"1---1677";"1---559"
"BBa_K2042008";"P26297";"1---999";"1---333"
"BBa_K2043001";"Q43984";"2---886";"3---297"
"BBa_K2043002";"Q43984";"35---916";"4---297"
"BBa_K2043003";"Q43984";"38---919";"4---297"
"BBa_K2043004";"P06622";"2---922";"1---307"
"BBa_K2043005";"P06622";"35---952";"2---307"
"BBa_K2043006";"P06622";"38---955";"2---307"
"BBa_K2043008";"P06622";"34---951";"2---307"
"BBa_K2043010";"P42212";"38---745";"3---238"
"BBa_K2043011";"P42212";"41---748";"3---238"
"BBa_K2043012";"P42212";"41---748";"3---238"
"BBa_K2043013";"P42212";"38---745";"3---238"
"BBa_K2043014";"P42212";"41---748";"3---238"
"BBa_K2043015";"P42212";"41---748";"3---238"
"BBa_K2043016";"P42212";"47---748";"5---238"
"BBa_K2043017";"P42212";"41---748";"3---238"
"BBa_K204500";"P15934";"1---705";"1---235"
"BBa_K2045000";"P06971";"1---2241";"1---747"
"BBa_K2045002";"P06971";"1---2241";"1---747"
"BBa_K2045003";"P00546";"1---894";"1---298"
"BBa_K2048005";"Q9U6Y8";"123---767";"7---221"
"BBa_K205000";"Q3YUJ7";"1---1596";"1---532"
"BBa_K205001";"Q3YUJ8";"1---291";"1---97"
"BBa_K205002";"Q3Z601";"1---1896";"1---632"
"BBa_K205003";"Q0T8H5";"711---1838";"1---376"
"BBa_K205004";"P13112";"1---348";"1---116"
"BBa_K2050420";"P42212";"4---717";"1---238"
"BBa_K2055001";"P13738";"1---1164";"1---388"
"BBa_K2055002";"P29082";"1---927";"1---309"
"BBa_K2055003";"P50500";"4---162";"38---90"
"BBa_K2055004";"A9QXE0";"1---1068";"1---356"
"BBa_K2055007";"P03023";"1---1080";"1---360"
"BBa_K2055012";"B7J3C9";"1---1497";"1---499"
"BBa_K2055017";"B7J3C9";"19---1515";"1---499"
"BBa_K2055069";"Q93CH6";"1---414";"1---138"
"BBa_K2056001";"Q3YUG5";"1---423";"1---141"
"BBa_K206012";"P06956";"1---1029";"1---343"
"BBa_K2061005";"D0Z6T1";"4---309";"22---123"
"BBa_K2062005";"Q51559";"1---885";"1---295"
"BBa_K2065002";"P93343";"817---1542";"1---242"
"BBa_K2065004";"P93343";"817---1542";"1---242"
"BBa_K2065005";"P93343";"1---726";"1---242"
"BBa_K2065006";"P93343";"817---1542";"1---242"
"BBa_K2066029";"P04483";"1263---1871";"1---203"
"BBa_K2066029";"P0A9E0";"919---44";"1---292"
"BBa_K2066109";"P04483";"1061---1681";"1---207"
"BBa_K2066109";"P42212";"121---834";"1---238"
"BBa_K2066512";"P03023";"1---1080";"1---360"
"BBa_K2066516";"P04483";"1---621";"1---207"
"BBa_K2066524";"P03023";"10---1089";"1---360"
"BBa_K2066538";"P0AFB7";"1---1047";"1---349"
"BBa_K2066546";"P0AFB8";"6---1412";"1---469"
"BBa_K2071953";"Q9X0Y1";"1---648";"1---216"
"BBa_K2071969";"Q0GYU5";"1---993";"1---331"
"BBa_K2073000";"Q1JU72";"1---912";"1---304"
"BBa_K2073002";"P37002";"1---381";"1---127"
"BBa_K2073003";"Q7VYU0";"1---384";"1---128"
"BBa_K2073004";"P61390";"1---387";"1---129"
"BBa_K2073005";"P61391";"1---357";"1---119"
"BBa_K2074021";"P16480";"1---3540";"1---1180"
"BBa_K2074022";"P09662";"1---2025";"1---675"
"BBa_K2074023";"P21256";"10---1938";"1---643"
"BBa_K2074024";"P0A382";"1---747";"1---249"
"BBa_K2074025";"Q45723";"46---786";"16---262"
"BBa_K2074026";"P42212";"4---717";"1---238"
"BBa_K2074027";"P16480";"1---3540";"1---1180"
"BBa_K2074028";"P16480";"1---3540";"1---1180"
"BBa_K2074029";"P09662";"1---2025";"1---675"
"BBa_K2074029";"P0A382";"2146---2892";"1---249"
"BBa_K2074030";"P09662";"1---2025";"1---675"
"BBa_K2074030";"Q45723";"2191---2931";"16---262"
"BBa_K2074031";"P0A382";"2059---2805";"1---249"
"BBa_K2074031";"P21256";"10---1938";"1---643"
"BBa_K2074032";"P21256";"10---1938";"1---643"
"BBa_K2074032";"Q45723";"2104---2844";"16---262"
"BBa_K2074034";"P21256";"10---1938";"1---643"
"BBa_K2074034";"P42212";"2062---2775";"1---238"
"BBa_K2074101";"P16480";"1---3540";"1---1180"
"BBa_K2074102";"P05519";"23---1882";"16---633"
"BBa_K2074103";"P09662";"1---1959";"1---653"
"BBa_K2074104";"P21256";"10---1929";"1---640"
"BBa_K2074105";"Q45723";"46---786";"16---262"
"BBa_K2074106";"P42212";"4---717";"1---238"
"BBa_K2074134";"P0A382";"1---747";"1---249"
"BBa_K2074998";"P21256";"16---1941";"1---642"
"BBa_K2075001";"P42212";"4---717";"1---238"
"BBa_K2075009";"P14727";"22---1737";"152---723"
"BBa_K2075020";"P14727";"214---2607";"152---949"
"BBa_K2075020";"P14870";"2671---3201";"407---583"
"BBa_K2075021";"P14727";"53---2344";"152---949"
"BBa_K2075021";"P14870";"2408---2938";"407---583"
"BBa_K2075023";"P14727";"22---1737";"152---723"
"BBa_K208000";"P42212";"7---717";"2---238"
"BBa_K2082104";"P14739";"3---254";"1---84"
"BBa_K2082106";"P00582";"3---2786";"1---928"
"BBa_K2082107";"P00582";"3---2786";"1---928"
"BBa_K2082121";"P42212";"1---714";"1---238"
"BBa_K2082122";"P42212";"1---714";"1---238"
"BBa_K2082123";"P42212";"1---714";"1---238"
"BBa_K2082124";"P0AFZ0";"1---543";"1---181"
"BBa_K2082125";"P62594";"1---858";"1---286"
"BBa_K2082155";"P62594";"1---858";"1---286"
"BBa_K2082201";"Q83PM8";"1---273";"1---91"
"BBa_K2082202";"Q83PM8";"1---273";"1---91"
"BBa_K2082203";"Q83PM8";"1---273";"1---91"
"BBa_K2082204";"Q83PM8";"1---273";"1---91"
"BBa_K2082208";"Q3YW12";"1---198";"1---66"
"BBa_K2082209";"P16117";"1---285";"1---95"
"BBa_K2082209";"P19659";"394---588";"288---352"
"BBa_K2082290";"P02981";"1---1188";"1---396"
"BBa_K2082291";"Q9U6Y8";"1---663";"1---221"
"BBa_K2082292";"P62594";"1---858";"1---286"
"BBa_K2082300";"P03034";"1---705";"2---236"
"BBa_K2082300";"P10447";"736---1071";"70---181"
"BBa_K2083000";"P38483";"70---753";"2---229"
"BBa_K2083001";"P38483";"70---753";"2---229"
"BBa_K2083002";"P38483";"1---684";"2---229"
"BBa_K2083003";"P55265";"79---1230";"843---1226"
"BBa_K2083004";"P55265";"79---1230";"843---1226"
"BBa_K2083005";"P55265";"79---1230";"843---1226"
"BBa_K2083006";"P78563";"79---1191";"327---737"
"BBa_K2083007";"P78563";"79---1191";"327---737"
"BBa_K2083008";"P78563";"79---1191";"327---737"
"BBa_K2083011";"P02057";"1---318";"1---106"
"BBa_K2086000";"P33937";"261---2744";"1---828"
"BBa_K2086001";"P0A9T3";"1---1230";"1---410"
"BBa_K2087001";"P18177";"41---7138";"1---2366"
"BBa_K2088666";"Q5EXK5";"1---1356";"1---452"
"BBa_K2089005";"Q8LDL0";"1---693";"1---231"
"BBa_K209001";"Q8T9S7";"1---1545";"1---515"
"BBa_K209004";"P54673";"10---2346";"793---1571"
"BBa_K209005";"Q8SSQ0";"4---1164";"1291---1677"
"BBa_K209007";"P54673";"265---4719";"87---1571"
"BBa_K209008";"P54673";"10---3690";"345---1571"
"BBa_K209009";"Q92835";"4---1392";"365---827"
"BBa_K209010";"P32253";"1---555";"1---185"
"BBa_K209011";"P15064";"1---501";"1---167"
"BBa_K209012";"P15064";"1---501";"1---167"
"BBa_K209013";"Q55AR6";"1---1077";"1---359"
"BBa_K209014";"Q54PQ4";"4---1287";"178---605"
"BBa_K209015";"Q08227";"1---993";"1---331"
"BBa_K209016";"O70161";"1---1908";"1---636"
"BBa_K209017";"Q8T9S7";"4---1506";"15---515"
"BBa_K209018";"P13773";"1---1146";"1---382"
"BBa_K209019";"P51178";"1---432";"1---144"
"BBa_K209020";"P54673";"1---318";"687---792"
"BBa_K209021";"P54673";"37---363";"182---290"
"BBa_K209022";"Q8T9S7";"1---1545";"1---515"
"BBa_K209023";"P62943";"1---324";"1---108"
"BBa_K209071";"P31749";"1---492";"1---164"
"BBa_K209077";"Q55D99";"1---1815";"1---611"
"BBa_K209078";"P54673";"1894---4230";"793---1571"
"BBa_K209078";"Q55D99";"1---1815";"1---611"
"BBa_K209079";"Q55D99";"1---1815";"1---611"
"BBa_K209079";"Q92835";"1894---3282";"365---827"
"BBa_K209080";"P32253";"1897---2445";"3---185"
"BBa_K209080";"Q55D99";"1---1812";"1---610"
"BBa_K209081";"P15064";"1891---2391";"1---167"
"BBa_K209081";"Q55D99";"1---1815";"1---611"
"BBa_K209082";"P15064";"1891---2391";"1---167"
"BBa_K209082";"Q55D99";"1---1815";"1---611"
"BBa_K209083";"Q55AR6";"1891---2967";"1---359"
"BBa_K209083";"Q55D99";"1---1815";"1---611"
"BBa_K209084";"Q55D99";"1---1815";"1---611"
"BBa_K209084";"Q8T9S7";"1894---3396";"15---515"
"BBa_K209085";"O70161";"1891---3798";"1---636"
"BBa_K209086";"Q08227";"1891---2883";"1---331"
"BBa_K209086";"Q55D99";"1---1815";"1---611"
"BBa_K209087";"Q03100";"1786---4215";"596---1405"
"BBa_K209087";"Q8T9S7";"4288---5832";"1---515"
"BBa_K209088";"Q03100";"1786---4215";"596---1405"
"BBa_K209088";"Q8SSQ0";"4285---5451";"1289---1677"
"BBa_K209089";"Q03100";"1786---4215";"596---1405"
"BBa_K209090";"P54673";"4546---9000";"87---1571"
"BBa_K209090";"Q03100";"1786---4215";"596---1405"
"BBa_K209091";"Q03100";"1786---4215";"596---1405"
"BBa_K209091";"Q92835";"4291---5679";"365---827"
"BBa_K209092";"P32253";"4288---4842";"1---185"
"BBa_K209092";"Q03100";"1786---4215";"596---1405"
"BBa_K209093";"P15064";"4288---4788";"1---167"
"BBa_K209093";"Q03100";"1786---4215";"596---1405"
"BBa_K209094";"P15064";"4288---4788";"1---167"
"BBa_K209094";"Q03100";"1786---4215";"596---1405"
"BBa_K209095";"O08967";"4---480";"241---399"
"BBa_K2091000";"P00436";"1---603";"1---201"
"BBa_K2091001";"P00437";"1---717";"1---239"
"BBa_K2092000";"P04842";"4---1992";"1---663"
"BBa_K2092001";"P21228";"196---2592";"23---821"
"BBa_K2092004";"P21228";"214---2610";"23---821"
"BBa_K209400";"P08173";"1---1434";"2---479"
"BBa_K2094001";"P83686";"819---4";"1---272"
"BBa_K209401";"Q13639";"1---810";"2---262"
"BBa_K209402";"P42212";"145---858";"1---238"
"BBa_K209404";"P33379";"4---1743";"34---613"
"BBa_K209405";"P50552";"1---474";"1---158"
"BBa_K209406";"O55043";"1---1938";"1---646"
"BBa_K209407";"Q07889";"1---3999";"1---1333"
"BBa_K209408";"Q9NZM3";"1---1155";"2---386"
"BBa_K209409";"Q6TXD4";"1---4740";"1---1580"
"BBa_K209410";"P33379";"16---426";"258---394"
"BBa_K209411";"Q70E73";"604---1428";"976---1250"
"BBa_K209412";"Q70E73";"1---3750";"1---1250"
"BBa_K209413";"P15498";"1---2340";"66---845"
"BBa_K209414";"P00551";"1026---1832";"1---271"
"BBa_K209414";"P13773";"2639---3784";"1---382"
"BBa_K209414";"P42346";"3833---4117";"2019---2113"
"BBa_K209415";"P08172";"49---1398";"17---466"
"BBa_K209441";"P00551";"1026---1832";"1---271"
"BBa_K209441";"P08173";"3505---4938";"2---479"
"BBa_K209442";"P08172";"187---1509";"18---458"
"BBa_K209452";"P13773";"1---1146";"1---382"
"BBa_K209452";"P42346";"1195---1479";"2019---2113"
"BBa_K209458";"Q92633";"1---1092";"1---364"
"BBa_K209459";"P41146";"1---1110";"1---370"
"BBa_K209460";"P35348";"1---1398";"1---466"
"BBa_K209461";"P08908";"1---1266";"1---422"
"BBa_K209462";"P50052";"1---1089";"1---363"
"BBa_K209463";"P41595";"1---1443";"1---481"
"BBa_K209464";"P47901";"1---1272";"1---424"
"BBa_K209465";"P32248";"1---1134";"1---378"
"BBa_K209466";"Q9UNW8";"1---1140";"1---380"
"BBa_K209467";"P21453";"1---1146";"1---382"
"BBa_K209471";"P32300";"1---1098";"1---366"
"BBa_K209472";"P07550";"1---1239";"1---413"
"BBa_K209474";"P62943";"12---332";"2---108"
"BBa_K209475";"P05094";"4---681";"29---254"
"BBa_K209476";"O94929";"4---213";"614---683"
"BBa_K209477";"P32300";"1---1116";"1---372"
"BBa_K209484";"P32300";"1---1098";"1---366"
"BBa_K209485";"P32300";"1---1104";"1---368"
"BBa_K209486";"P05094";"1102---1779";"29---254"
"BBa_K209486";"P32300";"1---1104";"1---368"
"BBa_K209487";"P32300";"1---1098";"1---366"
"BBa_K209488";"P32300";"1---1098";"1---366"
"BBa_K209489";"P32300";"1---1101";"1---367"
"BBa_K209490";"P32300";"1---1101";"1---367"
"BBa_K209490";"Q9QWT9";"1147---2388";"261---674"
"BBa_K209491";"P48039";"1---1050";"1---350"
"BBa_K209493";"Q9QWT9";"49---1290";"261---674"
"BBa_K209495";"Q14416";"1---1482";"379---872"
"BBa_K209496";"Q9JLN9";"1---279";"2021---2113"
"BBa_K2099000";"P04483";"1---621";"1---207"
"BBa_K2099001";"P03962";"1090---1890";"1---267"
"BBa_K210001";"P03023";"21---1100";"1---360"
"BBa_K210003";"P03962";"21---821";"1---267"
"BBa_K2105000";"P00722";"1---2979";"1---1024"
"BBa_K2107000";"P01127";"58---777";"2---241"
"BBa_K2107002";"P01127";"13---297";"89---183"
"BBa_K2108001";"P37681";"1---690";"1---230"
"BBa_K2110004";"P77790";"582---4";"1---193"
"BBa_K2110009";"P09962";"1---324";"1---108"
"BBa_K211001";"P23270";"1---981";"1---327"
"BBa_K2110010";"P13583";"55---435";"19---145"
"BBa_K2110011";"P09963";"1---438";"1---146"
"BBa_K2110013";"A0A0K8P6T7";"64---882";"18---290"
"BBa_K2110014";"A0A0K8P8E7";"34---1845";"5---603"
"BBa_K211002";"Q18807";"151---936";"37---298"
"BBa_K2110100";"A0A0K8P6T7";"4---792";"28---290"
"BBa_K2110101";"A0A0K8P6T7";"4---792";"28---290"
"BBa_K2110102";"A0A0K8P6T7";"4---792";"28---290"
"BBa_K2110103";"A0A0K8P6T7";"4---792";"28---290"
"BBa_K2110104";"A0A0K8P6T7";"4---792";"28---290"
"BBa_K2110105";"A0A0K8P6T7";"4---792";"28---290"
"BBa_K2110106";"A0A0K8P6T7";"4---792";"28---290"
"BBa_K2110107";"A0A0K8P6T7";"4---792";"28---290"
"BBa_K2110108";"A0A0K8P6T7";"4---792";"28---290"
"BBa_K2110109";"A0A0K8P6T7";"4---792";"28---290"
"BBa_K2110200";"A0A0K8P6T7";"1066---1854";"28---290"
"BBa_K2110200";"P01149";"1056---790";"1---89"
"BBa_K2110800";"A0A0K8P6T7";"4---792";"28---290"
"BBa_K2111000";"P30559";"214---1017";"65---332"
"BBa_K2114001";"Q08312";"415---858";"1---148"
"BBa_K2114002";"Q08312";"397---840";"1---148"
"BBa_K2114005";"P08515";"1---654";"1---218"
"BBa_K2114005";"Q08312";"742---1185";"1---148"
"BBa_K2114006";"P08515";"487---1140";"1---218"
"BBa_K2114006";"Q08312";"1---444";"1---148"
"BBa_K2114010";"P08515";"1---654";"1---218"
"BBa_K2114011";"P08515";"628---1281";"1---218"
"BBa_K2114012";"P08515";"1---654";"1---218"
"BBa_K2114013";"P07789";"742---1428";"1---229"
"BBa_K2114013";"P08515";"1---654";"1---218"
"BBa_K2114017";"P42089";"415---813";"1---133"
"BBa_K2114019";"P08515";"1---654";"1---218"
"BBa_K2114019";"P42089";"742---1140";"1---133"
"BBa_K2114020";"P08515";"442---1095";"1---218"
"BBa_K2114020";"P42089";"1---399";"1---133"
"BBa_K2116001";"P54293";"4---750";"1---249"
"BBa_K2116017";"P42212";"1---714";"1---238"
"BBa_K2116053";"P0A8F3";"661---1278";"2---207"
"BBa_K2116053";"P42212";"1320---2033";"1---238"
"BBa_K2116053";"P62580";"1---657";"1---219"
"BBa_K2117003";"P01308";"4---261";"25---110"
"BBa_K2118001";"P42588";"21---1397";"1---459"
"BBa_K2118002";"P50264";"21---1544";"1---508"
"BBa_K212000";"O77421";"1---570";"1---190"
"BBa_K2120008";"P0AE70";"1---333";"1---111"
"BBa_K212001";"P0AEJ5";"655---1452";"185---450"
"BBa_K212005";"P0AEJ5";"670---1482";"180---450"
"BBa_K2120105";"P03034";"775---65";"1---237"
"BBa_K2120106";"P04483";"685---65";"1---207"
"BBa_K2120107";"P03023";"1083---4";"1---360"
"BBa_K2121016";"P42212";"4---717";"1---238"
"BBa_K2122150";"Q9NPC4";"1---1059";"1---353"
"BBa_K2122151";"Q9NPC4";"1---1059";"1---353"
"BBa_K2125000";"P20388";"1---1053";"1---351"
"BBa_K2127001";"P05429";"401---1921";"1---507"
"BBa_K2127002";"P05429";"216---1736";"1---507"
"BBa_K2127004";"P05429";"1---1521";"1---507"
"BBa_K2128000";"A0A1D1V3Z0";"1---708";"1---236"
"BBa_K2128003";"A0A0E4AVP3";"1---819";"1---273"
"BBa_K2128005";"Q95V77";"1---429";"1---143"
"BBa_K2128010";"Q9U6Y8";"1---663";"1---221"
"BBa_K2128011";"P42212";"4---717";"1---238"
"BBa_K2129001";"Q9ZFV7";"1---333";"1---111"
"BBa_K2129004";"Q9ZFV7";"525---857";"1---111"
"BBa_K2129005";"Q9ZFV7";"525---857";"1---111"
"BBa_K2129006";"P42212";"582---1295";"1---238"
"BBa_K2129007";"P0A9E0";"879---4";"1---292"
"BBa_K2129007";"P42212";"1293---2006";"1---238"
"BBa_K2130000";"Q99ZW2";"1---2301";"1---767"
"BBa_K2130001";"Q99ZW2";"1---4104";"1---1368"
"BBa_K2130002";"Q99ZW2";"1---4104";"1---1368"
"BBa_K2130005";"C9X1G5";"25---3270";"1---1082"
"BBa_K2130007";"U2UMQ6";"31---3948";"2---1307"
"BBa_K2130009";"Q99ZW2";"541---1917";"309---767"
"BBa_K2130012";"Q99ZW2";"1---2301";"1---767"
"BBa_K2130013";"Q99ZW2";"94---4194";"2---1368"
"BBa_K2130014";"J7RUA5";"52---3207";"2---1053"
"BBa_K2132001";"P28307";"1---471";"1---150"
"BBa_K2132003";"Q9U6Y8";"109---753";"7---221"
"BBa_K2135000";"Q3YWM2";"64---1683";"1---540"
"BBa_K2135001";"P27320";"36---326";"1---97"
"BBa_K2136014";"P17493";"655---873";"52---124"
"BBa_K2139001";"P23548";"1---1155";"1---385"
"BBa_K2139002";"P22505";"1---1344";"1---448"
"BBa_K2139003";"P54583";"1---1200";"1---400"
"BBa_K2139017";"P07984";"4---777";"190---447"
"BBa_K214000";"P0DJI9";"1---366";"1---122"
"BBa_K214003";"Q00651";"1---405";"138---272"
"BBa_K2141001";"P42212";"4---717";"1---238"
"BBa_K2141002";"P42212";"1459---2166";"1---236"
"BBa_K2141003";"P42212";"1536---2237";"3---238"
"BBa_K2142001";"P0AE72";"1---246";"1---82"
"BBa_K2142003";"P0AE70";"1---204";"1---68"
"BBa_K2142004";"P0AEE8";"1---834";"1---278"
"BBa_K2142006";"Q46995";"1---216";"1---72"
"BBa_K2143001";"P10183";"61---900";"21---300"
"BBa_K2144000";"P00644";"48---596";"40---231"
"BBa_K2144001";"P10547";"42---773";"250---493"
"BBa_K2144002";"P0C0Q2";"552---1070";"110---282"
"BBa_K2144005";"P10547";"42---773";"250---493"
"BBa_K2144006";"Q5HN75";"552---1070";"110---282"
"BBa_K2144010";"P0C0Q2";"873---43";"6---282"
"BBa_K2144011";"P00644";"48---596";"40---231"
"BBa_K2144012";"P0C0Q2";"873---43";"6---282"
"BBa_K2144100";"P00644";"48---596";"40---231"
"BBa_K2148001";"P0AG05";"8---793";"2---263"
"BBa_K2148002";"P09885";"8---784";"1---259"
"BBa_K2148008";"P42212";"5---718";"1---238"
"BBa_K2148009";"P42212";"2---715";"1---238"
"BBa_K2148010";"Q9U6Y8";"17---667";"5---221"
"BBa_K2148013";"Q99ZW2";"2---4105";"1---1368"
"BBa_K2150013";"P42212";"1216---1929";"1---238"
"BBa_K2150013";"Q01911";"10---1170";"2---388"
"BBa_K2150101";"Q01911";"10---1170";"2---388"
"BBa_K2150102";"O34376";"1---741";"1---247"
"BBa_K2150104";"P9WHG5";"1---315";"1---105"
"BBa_K2150106";"P9WJ75";"3---212";"2---71"
"BBa_K215012";"P16316";"910---1446";"303---481"
"BBa_K215012";"P42212";"124---831";"3---238"
"BBa_K215090";"P0A433";"4---987";"34---361"
"BBa_K215100";"P23596";"19---1743";"1---575"
"BBa_K215101";"P23597";"16---1359";"1---448"
"BBa_K215102";"P23598";"15---1400";"1---462"
"BBa_K2151100";"Q57231";"41---310";"1---90"
"BBa_K2151101";"Q54944";"38---853";"1---272"
"BBa_K2151102";"Q57231";"84---353";"1---90"
"BBa_K2151103";"P0A9E0";"879---4";"1---292"
"BBa_K2151103";"Q54944";"1256---2071";"1---272"
"BBa_K2152000";"P01133";"64---222";"971---1023"
"BBa_K2152001";"P01133";"64---222";"971---1023"
"BBa_K2152003";"P69487";"3---278";"61---152"
"BBa_K215251";"P0A910";"94---435";"67---180"
"BBa_K215260";"P22629";"205---597";"33---163"
"BBa_K215261";"P0A910";"94---435";"67---180"
"BBa_K215261";"P22629";"484---876";"33---163"
"BBa_K2155001";"P20906";"1---1584";"1---528"
"BBa_K2155002";"P0C2S5";"85---288";"674---741"
"BBa_K2155003";"Q32KB0";"1---951";"1---317"
"BBa_K2155005";"Q01866";"1---477";"276---434"
"BBa_K2155006";"Q06851";"1---402";"562---695"
"BBa_K2155007";"P38058";"1---360";"1106---1225"
"BBa_K2155010";"P0C2S5";"1677---1880";"674---741"
"BBa_K2155010";"P20906";"1---1584";"1---528"
"BBa_K2155011";"Q32KB0";"1---951";"1---317"
"BBa_K2155012";"P38058";"483---845";"1105---1225"
"BBa_K2155012";"Q01866";"1---477";"276---434"
"BBa_K2155013";"P0C2S5";"1677---1880";"674---741"
"BBa_K2155013";"P20906";"1---1584";"1---528"
"BBa_K2156016";"Q7N576";"1---921";"1---307"
"BBa_K2156504";"Q7N577";"1---1380";"1---480"
"BBa_K2156666";"Q7N575";"1---1077";"1---359"
"BBa_K2156831";"Q7N574";"1---972";"1---324"
"BBa_K2158000";"O32141";"1---1482";"1---494"
"BBa_K2158001";"P77671";"1---1359";"1---453"
"BBa_K2158002";"O74409";"1---888";"1---296"
